time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s
              414669,                   0,             204.332,                   0,                   0,                   0
              419755,                  -1,             193.241,                  -6,                  30,           -0.176484
              429713,                  -1,             170.964,                  10,                   0,                   0
              439753,                  -1,             147.827,                 155,                   0,                   0
              449715,                   1,             124.288,                 139,                  30,            0.180204
              459755,                   3,             100.072,                 123,                   0,            0.178804
              469711,                   4,             75.6658,                 107,                   0,           0.0901565
              479756,                   4,             50.7416,                 187,                   0,                   0
              489712,                   4,             25.8385,                  75,                   0,                   0
              499756,                   4,            0.613204,                  91,                   0,                   0
              509714,                   4,            -24.3988,                  42,                   0,                   0
              519756,                   4,            -49.5249,                  10,                   0,                   0
              529713,                   4,            -74.2439,                  10,                   0,                   0
              539755,                   4,            -98.8795,                 -22,                   0,                   0
              549712,                   4,            -122.918,                 -54,                   0,                   0
              559755,                   4,            -146.677,                 -54,                   0,                   0
              569713,                   4,            -169.659,                -167,                   0,                   0
              579756,                   4,            -192.164,                -167,                   0,                   0
              589714,                   4,            -213.724,                -199,                   0,                   0
              599755,                   4,            -234.616,                -183,                   0,                   0
              609713,                   4,            -254.413,                -264,                   0,                   0
              619782,                   3,            -273.419,                -248,                 -30,          -0.0891447
              629715,                   2,            -291.097,                -167,                   0,          -0.0903652
              639754,                   1,            -307.811,                -248,                   0,          -0.0894111
              649715,                  -1,            -323.185,                -232,                   0,           -0.180222
              659753,                  -5,            -337.398,                -328,                   0,            -0.35768
              669714,                  -9,            -350.176,                -344,                 -30,           -0.360445
              679757,                 -15,             -361.67,                -312,                   0,           -0.536253
              689714,                 -21,            -371.645,                -328,                 -30,           -0.540885
              699755,                 -30,            -380.232,                -393,                 -30,           -0.804539
              709712,                 -41,            -387.253,                -377,                 -30,           -0.991622
              719755,                 -54,            -392.799,                -377,                 -30,            -1.16188
              729713,                 -68,            -396.755,                -344,                 -30,            -1.26194
              739824,                 -85,            -399.183,                -377,                 -60,            -1.50916
              749713,                -104,            -399.999,                -393,                 -60,            -1.72458
              759776,                -124,            -399.246,                -393,                 -60,            -1.78396
              769714,                -147,            -396.935,                -377,                 -90,            -2.07736
              779755,                -170,             -393.03,                -377,                 -60,            -2.05604
              789711,                -196,            -387.613,                -409,                 -90,            -2.34407
              799755,                -224,            -380.612,                -393,                 -90,            -2.50226
              809713,                -252,            -372.176,                -409,                 -90,            -2.52387
              819781,                -282,            -362.165,                -377,                 -90,            -2.67461
              829714,                -314,            -350.868,                -393,                 -90,            -2.89169
              839753,                -346,            -338.063,                -377,                -120,            -2.86115
              849713,                -380,             -324.03,                -377,                 -90,            -3.06409
              859758,                -415,            -308.593,                -312,                -120,            -3.12751
              869716,                -451,            -292.076,                -344,                -120,            -3.24498
              879817,                -487,            -274.154,                -344,                 -90,            -3.19905
              889714,                -526,            -255.523,                -248,                -120,            -3.53706
              899756,                -564,             -235.61,                -264,                -120,            -3.39661
              909712,                -604,            -214.941,                -280,                -120,            -3.60625
              919754,                -643,            -193.243,                -216,                -120,            -3.48599
              929713,                -683,            -170.964,                -232,                -120,            -3.60517
              939754,                -722,            -147.824,                -199,                -120,            -3.48633
              949713,                -762,            -124.293,                -167,                -120,            -3.60517
              959754,                -801,            -100.075,                -167,                -120,            -3.48635
              969714,                -840,            -75.6584,                -151,                 -90,            -3.51469
              979753,                -877,             -50.749,                -151,                -120,            -3.30821
              989714,                -915,            -25.8335,                 -70,                 -90,            -3.42422
              999753,                -950,           -0.620709,                 -54,                 -90,             -3.1294
             1009713,                -984,             24.3964,                 -54,                 -90,            -3.06409
             1019813,               -1017,             49.6671,                 -54,                 -90,            -2.93274
             1029714,               -1047,             74.2464,                 -22,                 -90,            -2.71972
             1039755,               -1075,             98.8795,                  42,                 -90,            -2.50301
             1049714,               -1101,             122.923,                  -6,                 -90,            -2.34337
             1059756,               -1123,              146.68,                  10,                 -60,            -1.96645
             1069714,               -1142,             169.661,                 107,                 -60,            -1.71264
             1079756,               -1156,             192.164,                 123,                 -30,            -1.25138
             1089714,               -1168,             213.724,                 171,                 -30,            -1.08167
             1099756,               -1174,             234.618,                 139,                 -30,           -0.536299
             1109713,               -1176,             254.413,                 268,                   0,           -0.180293
             1119755,               -1174,              273.37,                 284,                   0,            0.178766
             1129715,               -1171,             291.097,                 348,                  30,            0.270363
             1139825,               -1165,             307.925,                 284,                  30,            0.532692
             1149714,               -1158,             323.184,                 300,                  30,            0.635381
             1159819,               -1148,             337.487,                 236,                  30,             0.88826
