[Configuration]
controller_type = dlqr
reference_type = constant-zero
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -8.9917800000e+01  ,  -1.1554100000e+03 ]]
event_a = 0.0000000000e+00
event_b = 0.0000000000e+00
event_sigma = 0.0000000000e+00
refresh_rate = 1.0000000000e+02

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              418070,                  -1,    1.9109765625e+02,               -1238,                   0,   -8.7570525706e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              428168,                  -1,    8.9917800903e+01,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              438207,                  -1,    8.9917800903e+01,                  19,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              448164,                   0,   -1.0415724182e+02,                 116,                   0,    9.0147428215e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              458211,                   0,    0.0000000000e+00,                  51,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              468165,                   0,    0.0000000000e+00,                  51,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              478214,                   0,    0.0000000000e+00,                -126,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              488164,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              498232,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              508167,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              518210,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              528167,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              538210,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              548164,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              558212,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              568224,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              578209,                   0,    0.0000000000e+00,                  19,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              588163,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              598207,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              608169,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              618207,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              628165,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              638206,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              648170,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              658205,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              668164,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              678209,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              688166,                   0,    0.0000000000e+00,                  19,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              698206,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              708167,                   0,    0.0000000000e+00,                  19,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              718269,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              728167,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              738212,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              748165,                   0,    0.0000000000e+00,                   3,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              758211,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              768165,                   0,    0.0000000000e+00,                  19,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              778266,                  -1,    1.9259017944e+02,                  19,                   0,   -8.8862285018e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              788048,                  -2,    2.8585620117e+02,                   3,                   0,   -9.1760158539e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              798093,                  -3,    3.7299813843e+02,                   3,                   0,   -8.9357674122e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              808050,                  -3,    2.6975338745e+02,                 132,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              818096,                  -3,    2.6975338745e+02,                 245,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              828049,                  -3,    2.6975338745e+02,                 341,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              838092,                  -4,    4.6293652344e+02,                 293,                   0,   -8.9375488460e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              848053,                  -4,    3.5967120361e+02,                 245,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              858164,                  -4,    3.5967120361e+02,                 293,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              868049,                  -4,    3.5967120361e+02,                 454,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              878092,                  -4,    3.5967120361e+02,                 374,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              888051,                  -4,    3.5967120361e+02,                 358,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              898160,                  -3,    1.6716227722e+02,                 341,                   0,    8.8791966438e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              908050,                  -3,    2.6975338745e+02,                 341,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              918094,                  -2,    7.6580574036e+01,                 341,                   0,    8.9366570115e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              928049,                  -1,   -1.4260358810e+01,                 100,                   0,    9.0165533125e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              938094,                  -1,    8.9917800903e+01,                 261,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              948047,                   0,   -1.0419910431e+02,                  51,                   0,    9.0183660388e-02,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
              958092,                   0,    0.0000000000e+00,                 -13,                   0,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00
