[Configuration]
controller_type = dlqr
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -8.9917800000e+01  ,  -1.1554100000e+03 ]]
event_a = 0.0000000000e+00
event_b = 0.0000000000e+00
event_sigma = 0.0000000000e+00
refresh_rate = 1.0000000000e+02

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              413596,                   0,   -3.0795697266e+04,               -1263,                   0,    0.0000000000e+00,   -3.4248721313e+02,    0.0000000000e+00,    3.4248721313e+02
              423981,                  -1,   -3.1751955078e+04,                  26,                 -30,   -8.6432151496e-02,   -3.5523263550e+02,    0.0000000000e+00,    3.5423263550e+02
              433938,                 -34,   -2.6418546875e+04,              -10126,                -180,   -2.9748651981e+00,   -3.6603366089e+02,    0.0000000000e+00,    3.3203366089e+02
              443982,                 -74,   -2.2978033203e+04,              -10077,                 -90,   -3.5746629238e+00,   -3.7547793579e+02,    0.0000000000e+00,    3.0147793579e+02
              453941,                 -92,   -2.4324574219e+04,               -9965,                 -30,   -1.6223278046e+00,   -3.8336642456e+02,    0.0000000000e+00,    2.9136642456e+02
              463980,                -106,   -2.4072333984e+04,              -10013,                 -30,   -1.2517554760e+00,   -3.8979946899e+02,    0.0000000000e+00,    2.8379946899e+02
              473939,                -116,   -2.4014179688e+04,               -9965,                 -30,   -9.0129208565e-01,   -3.9464941406e+02,    0.0000000000e+00,    2.7864941406e+02
              483984,                -118,   -2.4968367188e+04,              -10013,                   0,   -1.7871676385e-01,   -3.9797637939e+02,    0.0000000000e+00,    2.7997637939e+02
              493940,                -118,   -2.5330750000e+04,               -9965,                   0,    0.0000000000e+00,   -3.9971008301e+02,    0.0000000000e+00,    2.8171008301e+02
              503981,                -119,   -2.5152365234e+04,               -9981,                   0,   -8.9392863214e-02,   -3.9987487793e+02,    0.0000000000e+00,    2.8087487793e+02
              513939,                -120,   -2.4934982422e+04,              -10029,                   0,   -9.0137958527e-02,   -3.9846688843e+02,    0.0000000000e+00,    2.7846688843e+02
              523983,                -121,   -2.4576222656e+04,               -9965,                   0,   -8.9367650449e-02,   -3.9546710205e+02,    0.0000000000e+00,    2.7446710205e+02
              533939,                -121,   -2.4272386719e+04,              -10013,                   0,    0.0000000000e+00,   -3.9093972778e+02,    0.0000000000e+00,    2.6993972778e+02
              543982,                -123,   -2.3336056641e+04,              -10013,                   0,   -1.7875014246e-01,   -3.8482342529e+02,    0.0000000000e+00,    2.6182342529e+02
