[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -1.9097760100e+00  ,  -1.9449064542e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.6531055450e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              413319,                   0,   -6.5338598633e+02,                   0,                   0,    0.0000000000e+00,   -3.4212704468e+02,    1.1152910233e+01,    0.0000000000e+00
              419283,                  -2,   -6.5338598633e+02,                 -39,                  30,   -3.0100536346e-01,   -3.4965100098e+02,    1.1173623085e+01,    5.5321426392e+00
              429688,                  -2,   -6.5338598633e+02,                  10,                   0,    0.0000000000e+00,   -3.6159625244e+02,    1.1223517418e+01,    1.7469213486e+01
              439645,                  -4,   -6.6693212891e+02,                -603,                 -30,   -1.8029485643e-01,   -3.7158123779e+02,    1.1250823975e+01,    0.0000000000e+00
              449689,                  -8,   -6.6693212891e+02,                -635,                   0,   -3.5746631026e-01,   -3.8018035889e+02,    1.1257871628e+01,    4.6025309563e+00
              459645,                 -11,   -6.6693212891e+02,                -683,                   0,   -2.7046945691e-01,   -3.8721041870e+02,    1.1261756897e+01,    8.6296634674e+00
              469691,                 -12,   -6.6693212891e+02,                -683,                   0,   -8.9348748326e-02,   -3.9276864624e+02,    1.1268646240e+01,    1.3187728882e+01
              479644,                 -12,   -7.3475335693e+02,                -699,                   0,    0.0000000000e+00,   -3.9673275757e+02,    1.1272235870e+01,    0.0000000000e+00
              489690,                 -12,   -7.3475335693e+02,                -699,                   0,    0.0000000000e+00,   -3.9916101074e+02,    1.1266552925e+01,    2.4282641411e+00
              499644,                 -12,   -7.3475335693e+02,                -667,                   0,    0.0000000000e+00,   -3.9999899292e+02,    1.1251644135e+01,    3.2662503719e+00
              509689,                 -13,   -7.3475335693e+02,                -780,                   0,   -8.9357733727e-02,   -3.9925900269e+02,    1.1221272469e+01,    1.5288726091e+00
              519645,                 -14,   -7.3475335693e+02,                -764,                   0,   -9.0156532824e-02,   -3.9695672607e+02,    1.1181834221e+01,    1.7783187628e+00
              529688,                 -14,   -7.3475335693e+02,                -764,                   0,    0.0000000000e+00,   -3.9306106567e+02,    1.1138740540e+01,    5.6716704369e+00
              539644,                 -15,   -7.3475335693e+02,                -764,                   0,   -9.0156346560e-02,   -3.8765481567e+02,    1.1080937386e+01,    1.2078281403e+01
