[Configuration]
controller_type = dlqr-event
reference_type = constant-zero
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -2.1676400000e+01  ,  -6.4405200000e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 2.3557926178e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              425034,                   0,    0.0000000000e+00,                   0,                   0,    0.0000000000e+00,    0.0000000000e+00,    9.0951519012e+00,    0.0000000000e+00
              429858,                   2,    0.0000000000e+00,                   1,                   0,    3.7213844061e-01,    0.0000000000e+00,    9.0890169144e+00,    2.0343272686e+00
              440220,                   2,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    9.0679721832e+00,    2.0000000000e+00
              450264,                   1,    0.0000000000e+00,                   1,                   0,   -8.9366577566e-02,    0.0000000000e+00,    9.0458917618e+00,    1.0039852858e+00
              460223,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    9.0258092880e+00,    1.0000000000e+00
              470265,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    9.0056104660e+00,    1.0000000000e+00
              480219,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.9856338501e+00,    1.0000000000e+00
              490267,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.9655132294e+00,    1.0000000000e+00
              500220,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.9456272125e+00,    1.0000000000e+00
              510264,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.9256038666e+00,    1.0000000000e+00
              520219,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.9058027267e+00,    1.0000000000e+00
              530262,                   1,    0.0000000000e+00,                 -15,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.8858709335e+00,    1.0000000000e+00
              540222,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.8661479950e+00,    1.0000000000e+00
              550264,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.8463068008e+00,    1.0000000000e+00
              560289,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.8265438080e+00,    1.0000000000e+00
              570265,                   1,    0.0000000000e+00,                 -15,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.8069210052e+00,    1.0000000000e+00
              580222,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.7873792648e+00,    1.0000000000e+00
              590282,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.7676792145e+00,    1.0000000000e+00
              600222,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.7482576370e+00,    1.0000000000e+00
              610267,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.7286748886e+00,    1.0000000000e+00
              620218,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.7093181610e+00,    1.0000000000e+00
              630268,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.6898126602e+00,    1.0000000000e+00
              640223,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.6705341339e+00,    1.0000000000e+00
              650262,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.6511373520e+00,    1.0000000000e+00
              660220,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.6319389343e+00,    1.0000000000e+00
              670266,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.6126146317e+00,    1.0000000000e+00
              680221,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.5935077667e+00,    1.0000000000e+00
              690266,                   1,    0.0000000000e+00,                   1,                   0,    0.0000000000e+00,    0.0000000000e+00,    8.5742712021e+00,    1.0000000000e+00
