[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -5.0501400000e+01  ,  -9.2400000000e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.3674053192e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
              416631,                   0,   -1.7491933594e+04,               -1246,                   0,    0.0000000000e+00,   -3.4636532593e+02,    9.5450220108e+00,    0.0000000000e+00
              426396,                   1,   -1.7491933594e+04,                  11,                   0,    9.1919906437e-02,   -3.5798171997e+02,    9.5409536362e+00,    1.2616721153e+01
              436869,                 -21,   -1.5829330078e+04,               -9979,                -240,   -1.8855298758e+00,   -3.6894201660e+02,    9.5059413910e+00,    0.0000000000e+00
              446833,                 -73,   -1.5829330078e+04,              -10205,                -120,   -4.6843729019e+00,   -3.7788781738e+02,    9.4320344925e+00,    4.3145076752e+01
              456868,                 -89,   -1.3646275391e+04,               -9979,                 -30,   -1.4311470985e+00,   -3.8540078735e+02,    9.4011440277e+00,    0.0000000000e+00
              466835,                 -98,   -1.3646275391e+04,               -9915,                 -30,   -8.1051355600e-01,   -3.9134677124e+02,    9.3772621155e+00,    3.1164355278e+00
              476891,                -105,   -1.3646275391e+04,              -10060,                   0,   -6.2481892109e-01,   -3.9579089355e+02,    9.3538713455e+00,    5.6675419807e+00
              486825,                -105,   -1.3646275391e+04,               -9979,                   0,    0.0000000000e+00,   -3.9863024902e+02,    9.3375110626e+00,    3.1183524132e+00
              496870,                -104,   -1.3646275391e+04,               -9995,                   0,    8.9357271791e-02,   -3.9992263794e+02,    9.3202905655e+00,    1.5939120054e+00
              506826,                -105,   -1.3646275391e+04,               -9995,                   0,   -9.0156063437e-02,   -3.9963217163e+02,    9.2988157272e+00,    2.2195296288e+00
              516869,                -106,   -1.3646275391e+04,              -10011,                   0,   -8.9375808835e-02,   -3.9775527954e+02,    9.2752294540e+00,    4.8354034424e+00
              526830,                -106,   -1.3646275391e+04,              -10027,                   0,    0.0000000000e+00,   -3.9432974243e+02,    9.2511653900e+00,    8.1969480515e+00
              536894,                -106,   -1.3646275391e+04,              -10011,                   0,    0.0000000000e+00,   -3.8930068970e+02,    9.2249374390e+00,    1.3178040504e+01
              546828,                -106,   -1.3979313477e+04,               -9995,                   0,    0.0000000000e+00,   -3.8281039429e+02,    9.1971845627e+00,    0.0000000000e+00
              556877,                -106,   -1.3979313477e+04,              -10027,                   0,    0.0000000000e+00,   -3.7472821045e+02,    9.1672601700e+00,    8.0822029114e+00
              566906,                -106,   -1.3979313477e+04,              -10011,                   0,    0.0000000000e+00,   -3.6517312622e+02,    9.1355781555e+00,    1.7637292862e+01
              576871,                -106,   -1.2536629883e+04,               -9979,                   0,    0.0000000000e+00,   -3.5424322510e+02,    9.1023492813e+00,    0.0000000000e+00
              586831,                -106,   -1.2536629883e+04,               -9995,                   0,    0.0000000000e+00,   -3.4193157959e+02,    9.0674457550e+00,    1.2311647415e+01
              596874,                -106,   -1.1219493164e+04,              -10011,                   0,    0.0000000000e+00,   -3.2816201782e+02,    9.0306024551e+00,    0.0000000000e+00
              606827,                -107,   -1.1219493164e+04,               -9979,                 -30,   -9.0183243155e-02,   -3.1322692871e+02,    8.9912719727e+00,    1.5935344696e+01
              616873,                -107,   -9.5907558594e+03,               -9995,                   0,    0.0000000000e+00,   -2.9691067505e+02,    8.9513282776e+00,    0.0000000000e+00
              626827,                -107,   -9.5907558594e+03,               -9979,                   0,    0.0000000000e+00,   -2.7957730103e+02,    8.9103355408e+00,    1.7333398819e+01
              636873,                -107,   -7.7759765625e+03,              -10011,                   0,    0.0000000000e+00,   -2.6097546387e+02,    8.8676223755e+00,    0.0000000000e+00
              646828,                -107,   -7.7759765625e+03,               -9576,                   0,    0.0000000000e+00,   -2.4151655579e+02,    8.8240575790e+00,    1.9458915710e+01
              656871,                -107,   -5.7535585938e+03,               -9592,                   0,    0.0000000000e+00,   -2.2092869568e+02,    8.7789554596e+00,    0.0000000000e+00
              666831,                -105,   -5.7535585938e+03,               -7723,                   0,    1.8024045229e-01,   -1.9964221191e+02,    8.7356834412e+00,    1.9287324905e+01
              676869,                -104,   -3.7893476562e+03,               -7756,                   0,    8.9419588447e-02,   -1.7739843750e+02,    8.6898574829e+00,    0.0000000000e+00
              686828,                 -98,   -3.7893476562e+03,               -5725,                   0,    5.4077565670e-01,   -1.5463237000e+02,    8.6498241425e+00,    1.6772153854e+01
              696872,                 -94,   -2.2018405762e+03,               -5741,                   0,    3.5746690631e-01,   -1.3105918884e+02,    8.6061592102e+00,    0.0000000000e+00
              706831,                 -87,   -2.2018405762e+03,               -3776,                  30,    6.3090533018e-01,   -1.0717007446e+02,    8.5660638809e+00,    1.6891338348e+01
              716935,                 -80,   -7.0109100342e+02,               -3776,                   0,    6.2185066938e-01,   -8.2504898071e+01,    8.5248384476e+00,    0.0000000000e+00
              726886,                 -72,   -7.0109100342e+02,               -2213,                  30,    7.2161543369e-01,   -5.7887825012e+01,    8.5203685760e+00,    1.6617374420e+01
              736758,                 -66,    1.1502254639e+03,               -2180,                   0,    5.4554069042e-01,   -3.3242389679e+01,    8.5249404907e+00,    0.0000000000e+00
              746713,                 -58,    1.1502254639e+03,                -714,                  30,    7.2132509947e-01,   -8.2605447769e+00,    8.5273351669e+00,    1.6982755661e+01
              756777,                 -52,    2.9915126953e+03,                -714,                  30,    5.3513330221e-01,    1.7027311325e+01,    8.5324430466e+00,    0.0000000000e+00
              766714,                 -41,    2.9915126953e+03,                1171,                  30,    9.9361777306e-01,    4.1929695129e+01,    8.5311126709e+00,    1.3909939766e+01
              776778,                 -33,    4.3900156250e+03,                1139,                  30,    7.1351152658e-01,    6.6983375549e+01,    8.5335130692e+00,    0.0000000000e+00
              786715,                 -22,    4.3900156250e+03,                3008,                  60,    9.9361759424e-01,    9.1458610535e+01,    8.5317287445e+00,    1.3478144646e+01
              796759,                  -7,    4.9647114258e+03,                3024,                  30,    1.3404986858e+00,    1.1583485413e+02,    8.5246658325e+00,    0.0000000000e+00
              806713,                   4,    4.9647114258e+03,                4410,                  30,    9.9192059040e-01,    1.3953796387e+02,    8.5219612122e+00,    1.2707885742e+01
              816758,                  12,    6.9603481445e+03,                4426,                  30,    7.1486139297e-01,    1.6290432739e+02,    8.5224580765e+00,    0.0000000000e+00
              826711,                  18,    6.9603481445e+03,                5038,                  30,    5.4110181332e-01,    1.8541714478e+02,    8.5246019363e+00,    1.6513732910e+01
              836755,                  23,    8.8996181641e+03,                4958,                  30,    4.4683307409e-01,    2.0740066528e+02,    8.5272073746e+00,    0.0000000000e+00
              846715,                  34,    8.8996181641e+03,                6875,                  30,    9.9132287502e-01,    2.2838516235e+02,    8.5212669373e+00,    9.9993333817e+00
              856830,                  46,    9.2567675781e+03,                6972,                  30,    1.0648715496e+00,    2.4878068542e+02,    8.5130939484e+00,    0.0000000000e+00
              866713,                  60,    9.2567675781e+03,                8873,                  30,    1.2715137005e+00,    2.6773876953e+02,    8.5010957718e+00,    4.9623851776e+00
              876756,                  76,    9.2567675781e+03,                8970,                  30,    1.4300078154e+00,    2.8594610596e+02,    8.4854059219e+00,    7.1747236252e+00
              886717,                  88,    9.2567675781e+03,                9244,                  30,    1.0813350677e+00,    3.0288067627e+02,    8.4733123779e+00,    1.2099988937e+01
              896760,                  97,    1.0455627930e+04,                9292,                  30,    8.0437934399e-01,    3.1875372314e+02,    8.4635314941e+00,    0.0000000000e+00
              906715,                 104,    1.0455627930e+04,                9292,                  30,    6.3115882874e-01,    3.3323571777e+02,    8.4547147751e+00,    7.4839744568e+00
              916758,                 110,    1.0455627930e+04,                9228,                  30,    5.3625190258e-01,    3.4652487183e+02,    8.4455385208e+00,    1.4773575783e+01
              926716,                 118,    1.1471193359e+04,               10034,                  30,    7.2110813856e-01,    3.5833981323e+02,    8.4322156906e+00,    0.0000000000e+00
              936758,                 125,    1.1471193359e+04,                9969,                  30,    6.2569004297e-01,    3.6883416748e+02,    8.4183807373e+00,    3.4956386089e+00
              946717,                 132,    1.1471193359e+04,               10291,                   0,    6.3090610504e-01,    3.7779214478e+02,    8.4028158188e+00,    5.4530611038e+00
              956757,                 141,    1.1471193359e+04,               10001,                  30,    8.0461966991e-01,    3.8532601929e+02,    8.3828678131e+00,    3.9870765209e+00
              966716,                 150,    1.1471193359e+04,               10001,                  30,    8.1116390228e-01,    3.9128479004e+02,    8.3611373901e+00,    9.4926512241e-01
              976758,                 159,    1.1471193359e+04,               10001,                  30,    8.0445796251e-01,    3.9574240112e+02,    8.3374214172e+00,    3.5983810425e+00
              986716,                 167,    1.1471193359e+04,               10066,                  30,    7.2110813856e-01,    3.9860751343e+02,    8.3131551743e+00,    8.7323169708e+00
              996820,                 174,    1.0834694336e+04,               10001,                  30,    6.2185066938e-01,    3.9992016602e+02,    8.2879781723e+00,    0.0000000000e+00
             1006715,                 182,    1.0834694336e+04,                9969,                  30,    7.2569936514e-01,    3.9964401245e+02,    8.2599802017e+00,    8.2767829895e+00
             1016759,                 188,    1.0098959961e+04,               10082,                  30,    5.3619849682e-01,    3.9778442383e+02,    8.2322750092e+00,    0.0000000000e+00
